# ----------------------------------------
# Todos os dados do website
# Termos de pesquisa
# 20190702-20190708
# ----------------------------------------

Termo de pesquisa,Total de pesquisas exclusivas,Visualizações de página dos resultados/Pesquisa,Porcentagem de saídas de pesquisa,Porcentagem de refinamentos de pesquisa,Tempo depois da pesquisa,Média de páginas por visita
rio preto,9,"2,11","0,00%","10,53%",00:02:17,"4,67"
São Paulo,9,"2,78","44,44%","0,00%",00:01:54,"2,67"
saúde,9,"4,22","22,22%","13,16%",00:06:12,"3,33"
SMS rj,9,"1,67","66,67%","6,67%",00:08:27,"0,89"
tj sp,9,"1,89","33,33%","17,65%",00:00:29,"0,89"
tj-ce,9,"2,00","11,11%","0,00%",00:05:37,"8,44"
TJRJ,9,"2,67","0,00%","16,67%",00:06:29,"7,11"
Trf4,9,"1,89","55,56%","5,88%",00:03:45,"5,56"
TRF4,9,"2,22","22,22%","10,00%",00:07:48,"8,00"
tribunal de justiça,9,"3,11","0,00%","25,00%",00:03:04,"5,33"
uerj,9,"2,22","11,11%","35,00%",00:11:17,"11,78"
vigilância sanitária,9,"2,56","11,11%","0,00%",00:02:42,"2,78"
advogado,8,"2,12","37,50%","5,88%",00:11:18,"4,00"
Aeronáutica,8,"2,00","0,00%","25,00%",00:01:23,"1,00"
Agente educador 2019,8,"3,12","62,50%","4,00%",00:03:37,"1,00"
Agente penitenciário,8,"2,62","25,00%","23,81%",00:00:55,"0,62"
Ancine,8,"2,12","50,00%","0,00%",00:02:00,"1,62"
betim,8,"1,75","25,00%","21,43%",00:03:18,"2,75"
Bombeiros,8,"2,25","25,00%","11,11%",00:01:49,"3,00"
caixa economica,8,"1,75","50,00%","14,29%",00:00:14,"0,38"
Cbmerj,8,"2,00","50,00%","18,75%",00:01:01,"0,62"
Classificação final,8,"3,25","62,50%","3,85%",00:04:32,"1,12"
colegio pedro ii,8,"1,38","25,00%","18,18%",00:03:34,"1,75"
DELEGADO,8,"2,62","50,00%","9,52%",00:01:12,"1,50"
EBSERH,8,"2,62","12,50%","14,29%",00:02:19,"2,12"
eear,8,"2,75","0,00%","9,09%",00:05:46,"4,12"
Ensino médio,8,"2,00","50,00%","6,25%",00:05:48,"5,88"
gabarito,8,"4,25","12,50%","0,00%",00:04:03,"6,75"
investigador,8,"2,50","0,00%","25,00%",00:09:08,"4,50"
Laboratório,8,"5,25","0,00%","7,14%",00:01:54,"4,75"
mp rj,8,"2,88","12,50%","17,39%",00:07:29,"3,00"
PCDF,8,"2,25","25,00%","11,11%",00:01:27,"1,88"
Pedagogo,8,"2,88","25,00%","4,35%",00:02:25,"4,75"
pedro 2,8,"2,00","0,00%","25,00%",00:01:23,"3,62"
perito criminal,8,"3,62","50,00%","20,69%",00:01:00,"0,88"
Piauí,8,"2,88","62,50%","13,04%",00:01:13,"0,62"
Pm rj,8,"1,62","87,50%","7,69%",00:02:08,"0,38"
Pm sp,8,"1,50","50,00%","8,33%",00:00:24,"0,38"
policia militar,8,"2,12","12,50%","17,65%",00:02:57,"2,88"
policia militar rj,8,"2,00","25,00%","18,75%",00:01:38,"1,38"
prefeitura rj,8,"5,12","12,50%","7,32%",00:07:23,"5,12"
PROCURADOR,8,"2,25","25,00%","5,56%",00:02:13,"1,50"
psicologo,8,"3,00","37,50%","4,17%",00:06:15,"6,75"
Psicólogo,8,"3,38","12,50%","14,81%",00:01:47,"1,25"
Resultado da prova agente educador,8,"3,12","0,00%","12,00%",00:11:10,"3,38"
Resultados,8,"3,50","25,00%","10,71%",00:03:10,"2,38"
seeduc,8,"1,88","0,00%","0,00%",00:02:41,"2,00"
Sergipe,8,"2,88","50,00%","4,35%",00:06:02,"3,88"
SMS,8,"3,00","12,50%","8,33%",00:04:41,"2,62"
TCE RJ,8,"2,25","37,50%","27,78%",00:01:20,"1,12"
TCM rj,8,"1,75","37,50%","7,14%",00:04:12,"4,50"
Tecnico de necropsia,8,"2,38","25,00%","5,26%",00:07:22,"5,12"
TJ CE,8,"1,62","25,00%","23,08%",00:00:41,"2,50"
Tj sp,8,"4,12","25,00%","3,03%",00:01:34,"1,75"
tre rj,8,"2,75","0,00%","22,73%",00:03:08,"1,50"
tre-rj,8,"1,75","87,50%","7,14%",00:00:05,"0,12"
trf 3,8,"1,88","0,00%","0,00%",00:02:33,"4,25"
trf4,8,"2,00","50,00%","6,25%",00:02:29,"8,62"
uff,8,"3,38","12,50%","14,81%",00:17:55,"14,75"
vila velha,8,"2,12","25,00%","23,53%",00:02:09,"4,12"
Agente administrativo,7,"2,00","14,29%","7,14%",00:03:25,"4,29"
agente educador 2019,7,"2,57","14,29%","11,11%",00:07:02,"4,29"
Analista,7,"3,71","57,14%","7,69%",00:02:08,"1,86"
Arquiteto,7,"3,43","42,86%","4,17%",00:01:55,"5,71"
barra mansa,7,"1,86","28,57%","15,38%",00:04:29,"3,00"
CABO FRIO,7,"2,43","28,57%","11,76%",00:03:15,"2,71"
CAMPINAS,7,"3,00","14,29%","9,52%",00:03:06,"3,43"
campos do jordão,7,"1,71","71,43%","16,67%",00:01:21,"2,00"
Ceará,7,"2,71","28,57%","0,00%",00:03:06,"5,86"
cnmp,7,"2,00","0,00%","35,71%",00:03:29,"5,14"
Concurso bacen,7,"2,43","14,29%","23,53%",00:06:35,"0,71"
Concurso polícia civil,7,"1,86","14,29%","38,46%",00:02:53,"2,00"
Correios,7,"1,43","28,57%","10,00%",00:05:41,"1,86"
Crea mg,7,"1,86","100,00%","0,00%",<00:00:01,"0,00"
dpe rj,7,"2,43","0,00%","17,65%",00:06:04,"6,71"
engenharia civil,7,"2,14","28,57%","13,33%",00:03:00,"4,43"
engenheiro,7,"3,14","28,57%","4,55%",00:03:22,"5,43"
farmaceutico,7,"7,14","42,86%","6,00%",00:02:31,"8,71"
guapimirim,7,"2,29","14,29%","6,25%",00:01:04,"2,71"
guarulhos,7,"1,43","0,00%","50,00%",00:00:26,"0,86"
inb,7,"2,29","57,14%","6,25%",00:00:51,"0,71"
Inmetro concurso,7,"1,14","28,57%","0,00%",00:00:13,"0,86"
Inscrições,7,"1,71","28,57%","8,33%",00:02:16,"1,29"
iphan,7,"2,71","42,86%","5,26%",00:02:07,"1,57"
iss campinas,7,"2,14","57,14%","6,67%",00:04:38,"0,71"
Lista de convocados,7,"5,14","42,86%","2,78%",00:01:35,"1,29"
Matemática,7,"2,00","42,86%","7,14%",00:00:58,"2,14"
MG,7,"5,57","28,57%","5,13%",00:02:17,"4,71"
minas gerais,7,"3,29","28,57%","0,00%",00:06:34,"12,43"
MP sp,7,"3,00","14,29%","4,76%",00:04:41,"3,57"
MP SP,7,"2,14","42,86%","6,67%",00:01:04,"1,29"
mp-rj,7,"2,57","0,00%","22,22%",00:03:18,"3,14"
paei,7,"1,86","42,86%","0,00%",00:07:47,"3,00"
Pedro,7,"3,00","14,29%","4,76%",00:05:39,"3,29"
Pernambuco,7,"2,71","42,86%","0,00%",00:02:39,"4,57"
pm rj,7,"1,71","0,00%","16,67%",00:04:17,"7,29"
prefeitura de queimados,7,"2,71","57,14%","0,00%",00:02:51,"3,14"
Professor adjunto rj,7,"2,57","57,14%","16,67%",00:00:27,"0,00"
Radiologia,7,"2,00","42,86%","14,29%",00:01:05,"3,57"
Resultado final,7,"3,57","28,57%","4,00%",00:01:21,"0,86"
Resultado final professor adjunto,7,"2,14","57,14%","13,33%",00:00:21,"0,29"
são gonçalo,7,"1,43","28,57%","50,00%",00:00:14,"0,29"
Seap,7,"1,71","0,00%","8,33%",00:03:05,"2,43"
sefaz mg,7,"1,86","85,71%","0,00%",00:03:22,"0,57"
simulado,7,"2,00","14,29%","28,57%",00:01:27,"3,57"
SME RJ,7,"2,57","0,00%","22,22%",00:06:05,"1,29"
sms rj,7,"1,57","14,29%","18,18%",00:06:35,"4,29"
Tce rj,7,"1,71","28,57%","0,00%",00:05:08,"2,71"
Técnico em enfermagem,7,"1,86","0,00%","30,77%",00:02:25,"5,71"
tj am,7,"1,86","14,29%","15,38%",00:02:31,"2,43"
Tj RJ,7,"2,00","28,57%","14,29%",00:04:19,"0,57"
TJ rj,7,"2,71","28,57%","10,53%",00:04:55,"7,71"
TJ-AM,7,"3,57","28,57%","20,00%",00:14:11,"7,14"
Tj-rj,7,"2,00","0,00%","21,43%",00:06:50,"6,86"
Tribunal de justiça,7,"3,14","28,57%","18,18%",00:03:12,"2,57"
Tribunal de Justiça,7,"3,29","14,29%","4,35%",00:02:00,"1,57"
Uff,7,"2,14","28,57%","6,67%",00:05:32,"3,86"
ufjf,7,"1,57","28,57%","0,00%",00:00:48,"1,29"
Uni rio,7,"1,86","14,29%","7,69%",00:08:14,"3,43"
UniRio,7,"2,43","14,29%","17,65%",00:20:20,"11,29"
Vigilância sanitária rj,7,"1,86","14,29%","23,08%",00:01:13,"2,14"
Aberto,6,"2,33","50,00%","0,00%",00:03:12,"3,83"
abin,6,"1,33","83,33%","0,00%",00:06:53,"1,83"
adasa,6,"2,33","0,00%","0,00%",00:06:49,"8,50"
agente,6,"1,50","16,67%","33,33%",00:02:10,"2,33"
Agente educador ll,6,"2,67","100,00%","12,50%",00:01:00,"0,00"
Agente educador resultado,6,"2,33","16,67%","14,29%",00:01:13,"2,33"
agente penitenciario,6,"3,33","33,33%","5,00%",00:07:20,"3,50"
Alagoas,6,"2,33","33,33%","0,00%",00:02:03,"2,00"
Aprovados,6,"2,33","33,33%","0,00%",00:02:21,"2,50"
Aprovados agente educador,6,"2,67","0,00%","6,25%",00:16:03,"12,17"
auxiliar necropsia,6,"2,83","16,67%","29,41%",00:03:43,"6,17"
BAcen,6,"1,17","100,00%","0,00%",<00:00:01,"0,00"
Bahia,6,"3,67","66,67%","4,55%",00:01:51,"2,00"
belo horizonte,6,"2,17","50,00%","0,00%",00:00:46,"0,83"
Comlurb concurso,6,"2,00","83,33%","0,00%",00:06:35,"1,50"
Concurso 2019,6,"3,17","83,33%","0,00%",00:01:23,"1,83"
Concurso agente educador,6,"1,83","33,33%","0,00%",00:04:33,"1,50"
concurso Agente Educador RJ,6,"1,50","16,67%","0,00%",00:16:40,"2,67"
Concurso da Comlurb,6,"3,00","33,33%","11,11%",00:05:03,"5,83"
Concurso inss,6,"2,67","50,00%","6,25%",00:00:50,"1,50"
concurso prefeitura de governador valadares,6,"1,83","16,67%","0,00%",00:00:25,"1,50"
Concurso prf,6,"2,50","83,33%","0,00%",00:01:54,"0,17"
Concurso professor adjunto,6,"1,50","50,00%","11,11%",00:03:19,"0,83"
conlurb,6,"1,50","66,67%","0,00%",00:00:26,"1,33"
DEPEN,6,"3,33","33,33%","0,00%",00:06:31,"3,17"
Educacao rj,6,"1,83","50,00%","18,18%",00:00:07,"0,17"
educador rj,6,"1,83","33,33%","18,18%",00:03:42,"3,00"
empregos,6,"2,67","83,33%","0,00%",00:00:43,"1,50"
Engenharia,6,"2,50","16,67%","6,67%",00:01:21,"2,83"
Engenheiro civil,6,"5,33","33,33%","0,00%",00:02:59,"5,50"
ensino fundamental,6,"1,83","0,00%","27,27%",00:09:05,"9,67"
Epcar,6,"3,50","16,67%","0,00%",00:01:56,"5,00"
esa,6,"2,33","16,67%","21,43%",00:00:28,"2,17"
federal,6,"2,33","0,00%","28,57%",00:02:40,"5,50"
fhemig,6,"1,50","0,00%","0,00%",00:00:15,"1,83"
GARI,6,"3,00","16,67%","5,56%",00:02:40,"3,50"
Goiás,6,"1,50","66,67%","0,00%",00:01:45,"4,33"
informática,6,"3,17","33,33%","21,05%",00:03:03,"1,50"
Inscrições abertas,6,"3,50","16,67%","9,52%",00:11:55,"10,83"
iss,6,"2,17","0,00%","46,15%",00:00:30,"0,17"
juiz de fora,6,"2,00","33,33%","25,00%",00:02:52,"1,67"
magisterio,6,"5,17","0,00%","22,58%",00:03:05,"1,17"
medico,6,"5,50","66,67%","0,00%",00:02:46,"5,50"
Militar,6,"3,00","16,67%","11,11%",00:02:16,"2,33"
ministerio da saude,6,"2,00","83,33%","0,00%",00:00:10,"0,33"
ministério público,6,"2,83","0,00%","11,76%",00:00:38,"2,17"
Momento Descomplica,6,"3,00","16,67%","0,00%",00:16:49,"5,50"
mp,6,"2,33","33,33%","14,29%",00:01:47,"3,67"
necrópsia,6,"4,17","16,67%","8,00%",00:10:52,"9,33"
nível médio,6,"3,17","16,67%","15,79%",00:10:57,"16,33"
Nova Iguaçú,6,"2,33","0,00%","57,14%",00:00:28,"0,00"
odontologia,6,"2,50","33,33%","20,00%",00:01:48,"1,33"
Odontologia,6,"2,50","33,33%","13,33%",00:03:00,"7,83"
oficial,6,"1,67","16,67%","40,00%",00:01:03,"0,50"
Oficial de justiça,6,"3,00","33,33%","5,56%",00:14:15,"10,67"
Paraná,6,"2,67","66,67%","6,25%",00:01:32,"0,67"
pedro segundo,6,"2,33","0,00%","14,29%",00:05:16,"2,50"
Perito legista rj,6,"1,67","83,33%","0,00%",00:00:01,"0,33"
petrobras,6,"2,33","16,67%","0,00%",00:03:03,"6,33"
pgm,6,"1,83","16,67%","36,36%",00:01:01,"1,00"
pmrj,6,"1,83","33,33%","27,27%",00:01:23,"1,50"
Polícia Civil do Rio de Janeiro,6,"2,33","66,67%","7,14%",00:01:34,"2,67"
policia civil-sp,6,"1,33","100,00%","0,00%",00:00:03,"0,00"
polícia militar,6,"3,17","16,67%","10,53%",00:02:40,"1,83"
Portugues,6,"3,00","16,67%","0,00%",00:04:02,"6,17"
Prefeitura de araruama,6,"1,83","50,00%","9,09%",00:00:10,"1,00"
prefeitura de cabo frio,6,"2,00","33,33%","8,33%",00:02:38,"3,00"
Professor adjunto de educação infantil,6,"1,50","33,33%","0,00%",00:01:34,"2,17"
Prova auxiliar de necropsia,6,"3,83","16,67%","8,70%",00:01:34,"2,83"
Prova de auxiliar de necropsia,6,"2,67","33,33%","6,25%",00:03:34,"4,50"
psicologia,6,"2,33","50,00%","14,29%",00:01:14,"1,67"
Receita Federal,6,"3,00","50,00%","11,11%",00:04:10,"3,67"
resultado,6,"3,00","33,33%","16,67%",00:10:49,"9,00"
SAUDE,6,"1,83","16,67%","18,18%",00:03:40,"7,50"
See,6,"2,83","0,00%","35,29%",00:01:13,"0,83"
Seeduc rj,6,"4,67","50,00%","7,14%",00:01:58,"1,33"
Segurança,6,"3,33","66,67%","15,00%",00:03:58,"5,67"
Silva Jardim,6,"2,00","33,33%","0,00%",00:01:17,"2,50"
Sudeste,6,"2,50","33,33%","0,00%",00:04:56,"2,33"
TCE,6,"2,67","16,67%","12,50%",00:08:21,"6,00"
técnico de enfermagem,6,"1,83","16,67%","0,00%",00:02:02,"4,00"
técnico em enfermagem,6,"1,83","33,33%","18,18%",00:02:19,"6,67"
TJ MA,6,"3,00","33,33%","5,56%",00:03:59,"1,50"
TJ mg,6,"2,33","83,33%","7,14%",00:00:12,"0,33"
TJ MG,6,"3,17","66,67%","0,00%",00:04:56,"1,33"
TRF3,6,"3,50","50,00%","14,29%",00:03:10,"2,83"
TRT,6,"2,33","66,67%","14,29%",00:00:24,"0,33"
UFF,6,"1,50","16,67%","33,33%",00:01:45,"2,00"
Vigilancia sanitaria,6,"2,17","83,33%","0,00%",00:01:10,"0,33"
abertos,5,"2,00","40,00%","0,00%",00:04:21,"6,40"
administrador,5,"1,80","60,00%","11,11%",00:00:13,"0,40"
Advogado,5,"2,60","40,00%","23,08%",00:03:08,"0,60"
aeronáutica,5,"1,80","60,00%","11,11%",00:00:55,"1,60"
agente de transito niteroi,5,"2,20","0,00%","18,18%",00:05:58,"1,20"
agente educador ii,5,"4,80","20,00%","8,33%",00:02:58,"4,00"
agente educador ll,5,"2,20","40,00%","18,18%",00:00:32,"0,80"
Análises clínicas,5,"4,60","20,00%","0,00%",00:06:17,"12,80"
Apostila,5,"1,40","40,00%","0,00%",00:02:22,"5,60"
Aracaju,5,"3,80","60,00%","5,26%",00:02:02,"2,40"
Arquitetura,5,"4,80","40,00%","12,50%",00:01:17,"3,80"
auxiliar de necropcia,5,"2,80","80,00%","7,14%",00:04:39,"0,80"
AUXILIAR DE NECROPSIA,5,"1,80","40,00%","11,11%",00:02:01,"3,20"
Auxiliar de necropsia 2002,5,"2,20","20,00%","0,00%",00:02:30,"4,20"
Auxiliar negropsio,5,"2,20","80,00%","9,09%",00:01:24,"0,20"
banco,5,"3,60","20,00%","33,33%",00:04:29,"5,20"
biologia,5,"2,20","0,00%","27,27%",00:01:05,"3,00"
bombeiros,5,"2,60","40,00%","0,00%",00:03:36,"1,60"
Bombeiros rj,5,"1,80","40,00%","0,00%",00:00:14,"0,60"
buzios,5,"2,00","20,00%","20,00%",00:06:11,"2,80"
Búzios,5,"2,40","0,00%","25,00%",00:00:56,"1,00"
Ceara,5,"1,80","60,00%","0,00%",00:01:09,"1,20"
CIVIL,5,"2,20","0,00%","18,18%",00:11:55,"7,80"
cnpq,5,"2,00","20,00%","30,00%",00:00:40,"1,60"
Codego,5,"2,00","20,00%","20,00%",00:03:08,"4,00"
colégio pedro II,5,"4,20","0,00%","14,29%",00:07:14,"13,40"
colurb,5,"2,00","0,00%","30,00%",00:03:02,"3,80"
comlurb rj,5,"2,60","40,00%","7,69%",00:02:16,"1,20"
Concurso banco do brasil,5,"2,40","20,00%","16,67%",00:02:50,"0,60"
Concurso Rio de Janeiro,5,"7,20","60,00%","0,00%",00:07:37,"2,00"
Concurso unirio,5,"2,60","20,00%","7,69%",00:03:37,"2,00"
Concursos 2019,5,"3,00","0,00%","6,67%",00:04:42,"1,60"
concursos previstos,5,"2,60","20,00%","15,38%",00:04:29,"9,20"
concursos rj,5,"3,40","40,00%","5,88%",00:02:21,"3,80"
CONFERE,5,"2,20","20,00%","0,00%",00:02:10,"2,40"
Conlurb,5,"2,00","60,00%","20,00%",00:00:31,"0,00"
Corpo de bombeiros,5,"2,40","40,00%","8,33%",00:01:16,"2,80"
CREMERJ,5,"2,20","80,00%","0,00%",00:00:09,"1,00"
defensoria,5,"1,80","20,00%","11,11%",00:05:49,"1,80"
Dentista,5,"1,80","20,00%","33,33%",00:02:45,"3,60"
Detran sp,5,"3,00","40,00%","0,00%",00:03:19,"1,80"
Dpu,5,"3,60","20,00%","5,56%",00:00:34,"2,20"
Eear,5,"2,80","40,00%","7,14%",00:00:58,"1,60"
engenheiro civil,5,"3,00","20,00%","0,00%",00:07:00,"11,80"
Esa,5,"2,00","0,00%","40,00%",00:01:43,"4,80"
ESA,5,"3,20","0,00%","18,75%",00:11:51,"9,80"
ESPIRITO SANTO,5,"1,80","60,00%","0,00%",00:04:41,"10,20"
Exercito,5,"1,60","0,00%","37,50%",00:02:39,"1,40"
Fab,5,"2,20","40,00%","0,00%",00:01:20,"0,80"
faetec,5,"2,60","60,00%","0,00%",00:04:50,"1,40"
farmacêutico,5,"4,20","40,00%","4,76%",00:01:21,"4,40"
Farmacêutico,5,"2,00","40,00%","10,00%",00:03:25,"5,20"
farmácia,5,"1,80","20,00%","11,11%",00:01:17,"1,80"
Farmácia,5,"1,80","0,00%","33,33%",00:04:09,"1,60"
fiocruz,5,"1,80","20,00%","33,33%",00:01:21,"0,60"
fisioterapia,5,"4,40","40,00%","4,55%",00:06:27,"1,60"
florianópolis,5,"1,80","20,00%","22,22%",00:00:27,"0,80"
franca,5,"1,80","20,00%","11,11%",00:03:23,"1,00"
Gabarito da prova,5,"2,40","20,00%","8,33%",00:05:44,"3,80"
Gari rj,5,"1,60","20,00%","50,00%",00:00:29,"0,00"
Goias,5,"2,00","80,00%","0,00%",00:01:24,"2,40"
inscrições abertas,5,"3,40","40,00%","17,65%",00:06:12,"2,20"
língua portuguesa,5,"1,60","20,00%","12,50%",00:00:24,"2,20"
Lista de aprovados agente educador,5,"3,80","20,00%","0,00%",00:07:42,"8,20"
Lista dos aprovados,5,"2,40","40,00%","8,33%",00:04:57,"1,20"
Local da prova,5,"2,40","60,00%","8,33%",00:01:09,"1,20"
Local das provas,5,"3,80","60,00%","0,00%",00:00:59,"0,60"
magistério,5,"3,20","20,00%","12,50%",00:13:40,"8,40"
Maranhão,5,"2,00","20,00%","10,00%",00:01:31,"3,60"
Medico,5,"4,40","60,00%","4,55%",00:02:17,"4,80"
Nível fundamental,5,"5,80","20,00%","6,90%",00:05:07,"2,40"
nutrição,5,"1,80","60,00%","22,22%",00:00:07,"0,00"
Nutricionista,5,"4,60","40,00%","4,35%",00:03:06,"2,20"
oficial de justiça,5,"1,80","80,00%","0,00%",00:00:05,"0,40"
Pc df,5,"1,80","40,00%","11,11%",00:00:28,"1,80"
pc sp,5,"2,40","40,00%","8,33%",00:02:21,"1,40"
Pc sp,5,"2,00","20,00%","10,00%",00:00:43,"1,60"
PC-DF,5,"2,00","20,00%","10,00%",00:01:23,"3,60"
pedagogia,5,"2,00","40,00%","10,00%",00:01:22,"1,60"
Pelotas,5,"4,40","80,00%","4,55%",00:03:27,"3,80"
pernambuco,5,"1,80","60,00%","0,00%",00:05:34,"6,80"
Pge rj,5,"2,00","20,00%","20,00%",00:07:55,"16,60"
Polícia cívil,5,"3,20","40,00%","6,25%",00:02:33,"2,00"
Policia militar,5,"4,40","20,00%","4,55%",00:02:43,"3,60"
Polícia Militar,5,"2,00","60,00%","10,00%",00:00:37,"0,80"
policial,5,"1,40","80,00%","0,00%",00:00:43,"0,60"
Prefeitura Araruama,5,"1,80","60,00%","11,11%",00:00:53,"0,40"
Prefeitura de cabo frio,5,"3,80","20,00%","5,26%",00:13:11,"3,80"
prefeitura do rio,5,"1,60","0,00%","25,00%",00:02:04,"2,80"
Prefeitura do rio,5,"2,60","20,00%","7,69%",00:00:48,"1,00"
Prefeitura do Rio de janeiro,5,"3,60","20,00%","11,11%",00:10:28,"3,80"
prefeitura rio de janeiro,5,"2,60","60,00%","7,69%",00:03:44,"1,60"
previsto,5,"3,60","40,00%","0,00%",00:09:35,"3,00"
Professor II,5,"2,60","80,00%","0,00%",00:00:09,"0,40"
Provas anteriores,5,"3,00","40,00%","6,67%",00:02:45,"2,40"
QUEIMADOS,5,"1,80","0,00%","22,22%",00:02:23,"5,20"
raciocinio logico,5,"4,20","0,00%","4,76%",00:26:28,"21,00"
RECEITA FEDERAL,5,"2,40","60,00%","8,33%",00:02:59,"0,60"
Redação,5,"2,00","0,00%","20,00%",00:03:48,"4,40"
Resultado da prova objetiva agente educador,5,"2,00","40,00%","10,00%",00:06:17,"1,20"
RIO BONITO,5,"2,80","0,00%","7,14%",00:09:44,"3,40"
Rio das Ostras,5,"2,60","40,00%","7,69%",00:00:33,"3,80"
são paulo,5,"1,80","0,00%","33,33%",00:03:05,"1,80"
seap,5,"2,60","40,00%","23,08%",00:01:40,"0,80"
sefaz df,5,"2,40","20,00%","8,33%",00:04:22,"2,60"
senado federal,5,"2,20","20,00%","18,18%",00:07:40,"7,00"
Senador canedo,5,"2,00","40,00%","10,00%",00:06:30,"2,20"
Sms rj,5,"2,00","20,00%","0,00%",00:04:40,"3,00"
sms-rj,5,"2,20","0,00%","9,09%",00:03:17,"1,80"
tcm rio,5,"15,80","40,00%","0,00%",00:12:04,"11,40"
TCM SP,5,"1,60","0,00%","37,50%",00:07:07,"2,40"
tecnico,5,"2,20","20,00%","18,18%",00:00:57,"0,80"
Técnico de necrópsia,5,"2,80","80,00%","7,14%",00:00:36,"0,00"
tecnico em necropsia,5,"3,60","0,00%","22,22%",00:04:26,"6,80"
Técnico em Necropsia,5,"2,40","20,00%","16,67%",00:00:44,"0,80"
Tj ce,5,"1,60","40,00%","12,50%",00:01:54,"0,80"
tj ma,5,"2,00","0,00%","10,00%",00:06:09,"3,80"
TJ-MA,5,"1,80","20,00%","11,11%",00:01:32,"1,80"
tjce,5,"1,80","60,00%","11,11%",00:04:09,"0,60"
trensurb,5,"3,60","20,00%","0,00%",00:09:36,"7,80"
trt ba,5,"2,80","60,00%","7,14%",00:00:23,"0,60"
trt sp,5,"12,00","20,00%","6,67%",00:03:36,"0,80"
Uberlândia,5,"2,00","0,00%","10,00%",00:02:17,"2,20"
Uerj,5,"2,20","60,00%","0,00%",00:03:06,"6,20"
uffrj,5,"4,80","60,00%","0,00%",00:03:43,"1,40"
ufrb,5,"1,80","20,00%","22,22%",00:02:17,"5,40"
Ufrrj,5,"3,00","20,00%","13,33%",00:00:33,"1,40"
univasf,5,"1,60","0,00%","12,50%",00:00:46,"1,60"
vunesp,5,"3,00","40,00%","0,00%",00:02:10,"4,20"
Administração,4,"3,25","25,00%","0,00%",00:02:19,"5,75"
aeronautica,4,"2,25","0,00%","22,22%",00:09:04,"5,50"
Agente de trânsito,4,"2,75","0,00%","18,18%",00:07:55,"3,25"
AGENTE EDUCADOR RJ,4,"1,75","25,00%","0,00%",00:01:47,"1,75"
agu,4,"1,75","25,00%","14,29%",00:01:02,"2,75"
alepi,4,"3,25","25,00%","7,69%",00:04:07,"2,25"
analista,4,"3,25","0,00%","7,69%",00:03:24,"10,50"
Anatomia,4,"2,75","0,00%","18,18%",00:01:25,"6,75"
aneel,4,"2,50","0,00%","30,00%",00:02:04,"5,50"
angra,4,"2,00","0,00%","37,50%",00:00:38,"1,00"
Antt,4,"3,25","0,00%","15,38%",00:03:36,"4,00"
Apostilas,4,"3,00","0,00%","8,33%",00:08:41,"4,00"
Área administrativa,4,"1,50","100,00%","0,00%",00:00:00,"0,00"
Auditor,4,"1,75","75,00%","14,29%",00:00:58,"2,75"
auditor fiscal,4,"2,25","25,00%","0,00%",00:06:56,"2,00"
Aulas,4,"2,50","100,00%","0,00%",00:01:06,"0,00"
Auxiliar veterinário,4,"2,25","50,00%","0,00%",00:03:33,"11,50"
Barra mansa,4,"2,25","0,00%","11,11%",00:13:55,"3,00"
biblioteconomia,4,"4,00","50,00%","6,25%",00:10:54,"5,25"
BOMBEIRO,4,"2,00","50,00%","0,00%",00:05:42,"1,25"
Bombeiro rj,4,"2,50","25,00%","10,00%",00:04:34,"1,00"
Cabo Frio RJ,4,"4,25","0,00%","17,65%",00:17:11,"3,50"
Caixa economica,4,"2,00","25,00%","25,00%",00:00:30,"1,50"
Caixa econômica,4,"2,00","25,00%","0,00%",00:01:13,"1,75"
camara municipal,4,"2,00","0,00%","0,00%",00:00:04,"1,75"
casa da moeda,4,"1,50","50,00%","0,00%",00:00:14,"1,00"
Civil rj,4,"2,00","0,00%","12,50%",00:01:33,"3,50"
colegio pedro,4,"3,00","50,00%","0,00%",00:00:42,"2,00"
colegio pedro II,4,"1,25","0,00%","20,00%",00:02:28,"3,75"
colégio pedro ii,4,"2,25","25,00%","0,00%",00:01:16,"3,50"
CONCURSO,4,"2,50","0,00%","10,00%",00:01:22,"5,75"
concurso 2019,4,"2,00","0,00%","12,50%",00:03:21,"3,25"
Concurso araruama,4,"2,50","50,00%","10,00%",00:01:32,"0,50"
concurso cabo frio,4,"3,00","0,00%","25,00%",00:08:53,"8,50"
CONCURSO COMLURB,4,"2,50","25,00%","20,00%",00:01:22,"1,00"
Concurso ebserh,4,"5,00","0,00%","0,00%",00:02:42,"2,25"
concurso inss,4,"1,75","75,00%","0,00%",00:00:55,"1,50"
Concurso policia civil rj,4,"1,75","0,00%","0,00%",00:02:27,"2,00"
concursos 2019,4,"1,75","0,00%","14,29%",00:13:12,"5,50"
contador,4,"3,25","0,00%","0,00%",00:18:31,"11,25"
Core,4,"2,50","0,00%","20,00%",00:05:28,"4,75"
core rj,4,"2,00","0,00%","0,00%",00:12:44,"9,50"
crea,4,"3,50","0,00%","0,00%",00:06:25,"4,75"
cuiabá,4,"2,25","0,00%","22,22%",00:40:09,"17,25"
Cuiabá,4,"3,00","0,00%","8,33%",00:05:25,"5,25"
Cvm,4,"2,50","25,00%","10,00%",00:01:26,"2,25"
deap,4,"2,00","25,00%","25,00%",00:00:16,"0,25"
defensor,4,"1,50","25,00%","50,00%",00:01:41,"0,00"
degase rj,4,"1,75","0,00%","14,29%",00:08:18,"2,50"
